Prep,Frame,Phase,PhaseInt,Movement
925,1,P0,1,Twitch
925,2,P0,1,Twitch
925,3,P0,1,Twitch
925,4,P0,1,Twitch
925,5,P0,1,Twitch
925,6,P0,1,Twitch
925,7,P0,1,Twitch
925,8,P0,1,Twitch
925,9,P0,1,Twitch
925,10,P0,1,Twitch
925,11,P0,1,Twitch
925,12,P0,1,Twitch
925,13,P0,1,Twitch
925,14,P0,1,Twitch
925,15,P0,1,Twitch
925,16,P0,1,Twitch
925,17,P0,1,Twitch
925,18,P0,1,Twitch
925,19,P0,1,Twitch
925,20,P0,1,Twitch
925,21,P0,1,Twitch
925,22,P0,1,Twitch
925,23,P0,1,Twitch
925,24,P0,1,Twitch
925,25,P0,1,Twitch
925,26,P0,1,Twitch
925,27,P0,1,Twitch
925,28,P0,1,Twitch
925,29,P0,1,Twitch
925,30,P0,1,Twitch
925,31,P0,1,Twitch
925,32,P0,1,Twitch
925,33,P0,1,Twitch
925,34,P0,1,Twitch
925,35,P0,1,Twitch
925,36,P0,1,Twitch
925,37,P0,1,Twitch
925,38,P0,1,Twitch
925,39,P0,1,Twitch
925,40,P0,1,Twitch
925,41,P0,1,Twitch
925,42,P0,1,Twitch
925,43,P0,1,Twitch
925,44,P0,1,Twitch
925,45,P0,1,Twitch
925,46,P0,1,Twitch
925,47,P0,1,Twitch
925,48,P0,1,Twitch
925,49,P0,1,Twitch
925,50,P0,1,Twitch
925,51,P0,1,Twitch
925,52,P0,1,Twitch
925,53,P0,1,Twitch
925,54,P0,1,Twitch
925,55,P0,1,Twitch
925,56,P0,1,Twitch
925,57,P0,1,Twitch
925,58,P0,1,Twitch
925,59,P0,1,Twitch
925,60,P0,1,Twitch
925,61,P0,1,Twitch
925,62,P0,1,Twitch
925,63,P0,1,Twitch
925,64,P0,1,Twitch
925,65,P0,1,Twitch
925,66,P0,1,Twitch
925,67,P0,1,Twitch
925,68,P0,1,Twitch
925,69,P0,1,Twitch
925,70,P0,1,Twitch
925,71,P0,1,Twitch
925,72,P0,1,Twitch
925,73,P0,1,Twitch
925,74,P0,1,Twitch
925,75,P0,1,Twitch
925,76,P0,1,Twitch
925,77,P0,1,Twitch
925,78,P0,1,Twitch
925,79,P0,1,Twitch
925,80,P0,1,Twitch
925,81,P0,1,Twitch
925,82,P0,1,Twitch
925,83,P0,1,Twitch
925,84,P0,1,Twitch
925,85,P0,1,Twitch
925,86,P0,1,Twitch
925,87,P0,1,Twitch
925,88,P0,1,Twitch
925,89,P0,1,Twitch
925,90,P0,1,Twitch
925,91,P0,1,Twitch
925,92,P0,1,Twitch
925,93,P0,1,Twitch
925,94,P0,1,Twitch
925,95,P0,1,Twitch
925,96,P0,1,Twitch
925,97,P0,1,Twitch
925,98,P0,1,Twitch
925,99,P0,1,Twitch
925,100,P0,1,Twitch
925,101,P0,1,Twitch
925,102,P0,1,Twitch
925,103,P0,1,Twitch
925,104,P0,1,Twitch
925,105,P0,1,Twitch
925,106,P0,1,Twitch
925,107,P0,1,Twitch
925,108,P0,1,Twitch
925,109,P0,1,Twitch
925,110,P0,1,Twitch
925,111,P0,1,Twitch
925,112,P0,1,Twitch
925,113,P0,1,Twitch
925,114,P0,1,Twitch
925,115,P0,1,Twitch
925,116,P0,1,Twitch
925,117,P0,1,Twitch
925,118,P0,1,Twitch
925,119,P0,1,Twitch
925,120,P0,1,Twitch
925,121,P0,1,Twitch
925,122,P0,1,Twitch
925,123,P0,1,Twitch
925,124,P0,1,Twitch
925,125,P0,1,Twitch
925,126,P0,1,Twitch
925,127,P0,1,Twitch
925,128,P0,1,Twitch
925,129,P0,1,Twitch
925,130,P0,1,Twitch
925,131,P0,1,Twitch
925,132,P0,1,Twitch
925,133,P0,1,Twitch
925,134,P0,1,Twitch
925,135,P0,1,Twitch
925,136,P0,1,Twitch
925,137,P0,1,Twitch
925,138,P0,1,Twitch
925,139,P0,1,Twitch
925,140,P0,1,Twitch
925,141,P0,1,Twitch
925,142,P0,1,Twitch
925,143,P0,1,Twitch
925,144,P0,1,Twitch
925,145,P0,1,Twitch
925,146,P0,1,Twitch
925,147,P0,1,Twitch
925,148,P0,1,Twitch
925,149,P0,1,Twitch
925,150,P0,1,Twitch
925,151,P0,1,Twitch
925,152,P0,1,Twitch
925,153,P0,1,Twitch
925,154,P0,1,Twitch
925,155,P0,1,Twitch
925,156,P0,1,Twitch
925,157,P0,1,Twitch
925,158,P0,1,Twitch
925,159,P0,1,Twitch
925,160,P0,1,Twitch
