Prep,Frame,Phase,PhaseInt,Movement
821,1,P0,1,Twitch
821,2,P0,1,Twitch
821,3,P0,1,Twitch
821,4,P0,1,Twitch
821,5,P0,1,Twitch
821,6,P0,1,Twitch
821,7,P0,1,Twitch
821,8,P0,1,Twitch
821,9,P0,1,Twitch
821,10,P0,1,Twitch
821,11,P0,1,Twitch
821,12,P0,1,Twitch
821,13,P0,1,Twitch
821,14,P0,1,Twitch
821,15,P0,1,Twitch
821,16,P0,1,Twitch
821,17,P0,1,Twitch
821,18,P0,1,Twitch
821,19,P0,1,Twitch
821,20,P0,1,Twitch
821,21,P0,1,Twitch
821,22,P0,1,Twitch
821,23,P0,1,Twitch
821,24,P0,1,Twitch
821,25,P0,1,Twitch
821,26,P0,1,Twitch
821,27,P0,1,Twitch
821,28,P0,1,Twitch
821,29,P0,1,Twitch
821,30,P0,1,Twitch
821,31,P0,1,Twitch
821,32,P0,1,Twitch
821,33,P0,1,Twitch
821,34,P0,1,Twitch
821,35,P0,1,Twitch
821,36,P0,1,Twitch
821,37,P0,1,Twitch
821,38,P0,1,Twitch
821,39,P0,1,Twitch
821,40,P0,1,Twitch
821,41,P0,1,Twitch
821,42,P0,1,Twitch
821,43,P0,1,Twitch
821,44,P0,1,Twitch
821,45,P0,1,Twitch
821,46,P0,1,Twitch
821,47,P0,1,Twitch
821,48,P0,1,Twitch
821,49,P0,1,Twitch
821,50,P0,1,Twitch
821,51,P0,1,Twitch
821,52,P0,1,Twitch
821,53,P0,1,Twitch
821,54,P0,1,Twitch
821,55,P0,1,Twitch
821,56,P0,1,Twitch
821,57,P0,1,Twitch
821,58,P0,1,Twitch
821,59,P0,1,Twitch
821,60,P0,1,Twitch
821,61,P0,1,Twitch
821,62,P0,1,Twitch
821,63,P0,1,Twitch
821,64,P0,1,Twitch
821,65,P0,1,Twitch
821,66,P0,1,Twitch
821,67,P0,1,Twitch
821,68,P0,1,Twitch
821,69,P0,1,Twitch
821,70,P0,1,Twitch
821,71,P0,1,Twitch
821,72,P0,1,Twitch
821,73,P0,1,Twitch
821,74,P0,1,Twitch
821,75,P0,1,Twitch
821,76,P0,1,Twitch
821,77,P0,1,Twitch
821,78,P0,1,Twitch
821,79,P0,1,Twitch
821,80,P0,1,Twitch
821,81,P0,1,Twitch
821,82,P0,1,Twitch
821,83,P0,1,Twitch
821,84,P0,1,Twitch
821,85,P0,1,Twitch
821,86,P0,1,Twitch
821,87,P0,1,Twitch
821,88,P0,1,Twitch
821,89,P0,1,Twitch
821,90,P0,1,Twitch
821,91,P0,1,Twitch
821,92,P0,1,Twitch
821,93,P0,1,Twitch
821,94,P0,1,Twitch
821,95,P0,1,Twitch
821,96,P0,1,Twitch
821,97,P0,1,Twitch
821,98,P0,1,Twitch
821,99,P0,1,Twitch
821,100,P0,1,Twitch
821,101,P0,1,Twitch
821,102,P0,1,Twitch
821,103,P0,1,Twitch
821,104,P0,1,Twitch
821,105,P0,1,Twitch
821,106,P0,1,Twitch
821,107,P0,1,Twitch
821,108,P0,1,Twitch
821,109,P0,1,Twitch
821,110,P0,1,Twitch
821,111,P0,1,Twitch
821,112,P0,1,Twitch
821,113,P0,1,Twitch
821,114,P0,1,Twitch
821,115,P0,1,Twitch
821,116,P0,1,Twitch
821,117,P0,1,Twitch
821,118,P0,1,Twitch
821,119,P0,1,Twitch
821,120,P0,1,Twitch
821,121,P0,1,Twitch
821,122,P0,1,Twitch
821,123,P0,1,Twitch
821,124,P0,1,Twitch
821,125,P0,1,Twitch
821,126,P0,1,Twitch
821,127,P0,1,Twitch
