Prep,Frame,Phase,PhaseInt,Movement
917,1,P0,1,Twitch
917,2,P0,1,Twitch
917,3,P0,1,Twitch
917,4,P0,1,Twitch
917,5,P0,1,Twitch
917,6,P0,1,Twitch
917,7,P0,1,Twitch
917,8,P0,1,Twitch
917,9,P0,1,Twitch
917,10,P0,1,Twitch
917,11,P0,1,Twitch
917,12,P0,1,Twitch
917,13,P0,1,Twitch
917,14,P0,1,Twitch
917,15,P0,1,Twitch
917,16,P0,1,Twitch
917,17,P0,1,Twitch
917,18,P0,1,Twitch
917,19,P0,1,Twitch
917,20,P0,1,Twitch
917,21,P0,1,Twitch
917,22,P0,1,Twitch
917,23,P0,1,Twitch
917,24,P0,1,Twitch
917,25,P0,1,Twitch
917,26,P0,1,Twitch
917,27,P0,1,Twitch
917,28,P0,1,Twitch
917,29,P0,1,Twitch
917,30,P0,1,Twitch
917,31,P0,1,Twitch
917,32,P0,1,Twitch
917,33,P0,1,Twitch
917,34,P0,1,Twitch
917,35,P0,1,Twitch
917,36,P0,1,Twitch
917,37,P0,1,Twitch
917,38,P0,1,Twitch
917,39,P0,1,Twitch
917,40,P0,1,Twitch
917,41,P0,1,Twitch
917,42,P0,1,Twitch
917,43,P0,1,Twitch
917,44,P0,1,Twitch
917,45,P0,1,Twitch
917,46,P0,1,Twitch
917,47,P0,1,Twitch
917,48,P0,1,Twitch
917,49,P0,1,Twitch
917,50,P0,1,Twitch
917,51,P0,1,Twitch
917,52,P0,1,Twitch
917,53,P0,1,Twitch
917,54,P0,1,Twitch
917,55,P0,1,Twitch
917,56,P0,1,Twitch
917,57,P0,1,Twitch
917,58,P0,1,Twitch
917,59,P0,1,Twitch
917,60,P0,1,Twitch
917,61,P0,1,Twitch
917,62,P0,1,Twitch
917,63,P0,1,Twitch
917,64,P0,1,Twitch
917,65,P0,1,Twitch
917,66,P0,1,Twitch
917,67,P0,1,Twitch
917,68,P0,1,Twitch
917,69,P0,1,Twitch
917,70,P0,1,Twitch
917,71,P0,1,Twitch
917,72,P0,1,Twitch
917,73,P0,1,Twitch
917,74,P0,1,Twitch
917,75,P0,1,Twitch
917,76,P0,1,Twitch
917,77,P0,1,Twitch
917,78,P0,1,Twitch
917,79,P0,1,Twitch
917,80,P0,1,Twitch
917,81,P0,1,Twitch
917,82,P0,1,Twitch
917,83,P0,1,Twitch
917,84,P0,1,Twitch
917,85,P0,1,Twitch
917,86,P0,1,Twitch
917,87,P0,1,Twitch
917,88,P0,1,Twitch
917,89,P0,1,Twitch
917,90,P0,1,Twitch
917,91,P0,1,Twitch
917,92,P0,1,Twitch
917,93,P0,1,Twitch
917,94,P0,1,Twitch
917,95,P0,1,Twitch
917,96,P0,1,Twitch
917,97,P0,1,Twitch
917,98,P0,1,Twitch
917,99,P0,1,Twitch
917,100,P0,1,Twitch
917,101,P0,1,Twitch
917,102,P0,1,Twitch
917,103,P0,1,Twitch
917,104,P0,1,Twitch
917,105,P0,1,Twitch
917,106,P0,1,Twitch
917,107,P0,1,Twitch
917,108,P0,1,Twitch
917,109,P0,1,Twitch
917,110,P0,1,Twitch
917,111,P0,1,Twitch
917,112,P0,1,Twitch
917,113,P0,1,Twitch
917,114,P0,1,Twitch
917,115,P0,1,Twitch
917,116,P0,1,Twitch
917,117,P0,1,Twitch
917,118,P0,1,Twitch
917,119,P0,1,Twitch
917,120,P0,1,Twitch
917,121,P0,1,Twitch
917,122,P0,1,Twitch
917,123,P0,1,Twitch
917,124,P0,1,Twitch
917,125,P0,1,Twitch
917,126,P0,1,Twitch
917,127,P0,1,Twitch
917,128,P0,1,Twitch
917,129,P0,1,Twitch
917,130,P0,1,Twitch
917,131,P0,1,Twitch
917,132,P0,1,Twitch
917,133,P0,1,Twitch
917,134,P0,1,Twitch
917,135,P0,1,Twitch
917,136,P0,1,Twitch
917,137,P0,1,Twitch
917,138,P0,1,Twitch
917,139,P0,1,Twitch
917,140,P0,1,Twitch
917,141,P0,1,Twitch
917,142,P0,1,Twitch
917,143,P0,1,Twitch
917,144,P0,1,Twitch
917,145,P0,1,Twitch
917,146,P0,1,Twitch
917,147,P0,1,Twitch
917,148,P0,1,Twitch
917,149,P0,1,Twitch
917,150,P0,1,Twitch
917,151,P0,1,Twitch
917,152,P0,1,Twitch
917,153,P0,1,Twitch
917,154,P0,1,Twitch
917,155,P0,1,Twitch
917,156,P0,1,Twitch
917,157,P0,1,Twitch
917,158,P0,1,Twitch
917,159,P0,1,Twitch
917,160,P0,1,Twitch
917,161,P0,1,Twitch
917,162,P0,1,Twitch
917,163,P0,1,Twitch
917,164,P0,1,Twitch
917,165,P0,1,Twitch
917,166,P0,1,Twitch
917,167,P0,1,Twitch
917,168,P0,1,Twitch
917,169,P0,1,Twitch
917,170,P0,1,Twitch
917,171,P0,1,Twitch
917,172,P0,1,Twitch
917,173,P0,1,Twitch
917,174,P0,1,Twitch
917,175,P0,1,Twitch
917,176,P0,1,Twitch
917,177,P0,1,Twitch
917,178,P0,1,Twitch
917,179,P0,1,Twitch
917,180,P0,1,Twitch
917,181,P0,1,Twitch
917,182,P0,1,Twitch
917,183,P0,1,Twitch
917,184,P0,1,Twitch
917,185,P0,1,Twitch
917,186,P0,1,Twitch
917,187,P0,1,Twitch
917,188,P0,1,Twitch
917,189,P0,1,Twitch
917,190,P0,1,Twitch
917,191,P0,1,Twitch
917,192,P0,1,Twitch
917,193,P0,1,Twitch
917,194,P0,1,Twitch
917,195,P0,1,Twitch
917,196,P0,1,Twitch
917,197,P0,1,Twitch
917,198,P0,1,Twitch
